id,exercicio,variacao,match
734,Afundo,Passada,media\exercicios\GIFS CROSSFIT\Arranco com kettlebell em afundo.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Alternado com Salto.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo com Gymstick.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Lateral.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo no banco.gif
1163,Abdominal,Abdominal Com Joelhos,media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta com Gymstick.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Bola Medicinal.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Braços Estendidos.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Elevação de Pernas.gif
840,Supino,Supino Inclinado Na Máquina Com Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
841,Supino,Supino Inclinado,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
834,Supino,Supino Inclinado Com Halteres E Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
836,Supino,Supino Declinada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
837,Outros,Pullover Com Halteres Na Bola,media\exercicios\GIFS ACADEMIA\PEITORAL\Pullover com Halteres na Bola de Estabilidade.gif
838,Supino,Supino Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
839,Outros,Mergulho De Peito,media\exercicios\GIFS ACADEMIA\PEITORAL\Mergulho de peito assistido.gif
1164,Abdominal,Abdominal Com Bola,media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta com Gymstick.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal Bicicleta.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Bola Medicinal.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Braços Estendidos.gif;media\exercicios\GIFS ABDOMINAIS\Abdominal com Elevação de Pernas.gif
846,Supino,Supino Invertido Com Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
847,Supino,Supino Unilateral,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
849,Supino,Supino Declinado Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
851,Cross Over,Crossover,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral cruzada no crossover.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Cross over polia Alta.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Cross over polia baixa.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crossover de peitoral superior com cabo.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crossover na Alavanca.gif
852,Supino,Supino Declinado Unilateral Pegada Martelo,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
854,Crucifixo,Crucifixo Com Cabo,media\exercicios\GIFS ACADEMIA\OMBROS\Crucifixo inverso unilateral com cabo.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Cabo Declinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Halteres Declinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Halteres Inclinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com halteres.gif
857,Supino,Supino Declinado,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
858,Supino,Supino Unilateral Com Halteres Com Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
859,Supino,Supino Inclinado Com Pegada,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
860,Puxada,Puxada Alta Com Um Joelho,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
864,Remada,Remada T Invertida,media\exercicios\GIFS CALISTENIA\Remada com o Peso do Corpo na Porta.gif;media\exercicios\GIFS CROSSFIT\Remada com barra curvada para trás.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada com banda de resistência curvada para deltoides posterior.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada sentada com faixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif
865,Outros,Pullover Na Máquina,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover na Máquina de Alavanca.gif
867,Remada,Remada,media\exercicios\GIFS CALISTENIA\Remada com o Peso do Corpo na Porta.gif;media\exercicios\GIFS CROSSFIT\Remada com barra curvada para trás.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada com banda de resistência curvada para deltoides posterior.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada sentada com faixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif
