id,variacao_nome,exercicio,arquivo_gif,score,resultado,url_salva,detalhe,timestamp
977,Desenvolvimento De Ombros Atrás Da Cabeça Na Máquina Smith,Desenvolvimento,OMBROS/Desenvolvimento de ombros atrás da cabeça na máquina Smith.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490566/exercicios/gif/variacao-977.gif,,2026-06-03T09:42:47
979,Voador Para Deltoides Posterior Com Cabo,Outros,OMBROS/Voador para deltoides posterior com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490568/exercicios/gif/variacao-979.gif,,2026-06-03T09:42:48
980,Remada Inclinada A 45 Graus,Remada,OMBROS/Remada inclinada a 45 graus.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490569/exercicios/gif/variacao-980.gif,,2026-06-03T09:42:50
981,Levantamento De Halteres De 4 Maneiras (2),Outros,OMBROS/Levantamento de halteres de 4 maneiras (2).gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490571/exercicios/gif/variacao-981.gif,,2026-06-03T09:42:51
982,Desenvolvimento Militar Em Pé Na Máquina Smith,Desenvolvimento,OMBROS/Desenvolvimento militar em pé na máquina Smith.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490572/exercicios/gif/variacao-982.gif,,2026-06-03T09:42:52
983,Desenvolvimento De Ombro Com Halteres Em Z,Desenvolvimento,OMBROS/Desenvolvimento de ombro com halteres em Z.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490573/exercicios/gif/variacao-983.gif,,2026-06-03T09:42:53
985,Elevação Posterior Unilateral Com Halteres Em Decúbito Prono,Outros,OMBROS/Elevação Posterior unilateral com halteres em Decúbito Prono.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490574/exercicios/gif/variacao-985.gif,,2026-06-03T09:42:55
986,Elevação Lateral Na Máquina,Elevação Lateral,OMBROS/Elevação lateral na máquina.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490575/exercicios/gif/variacao-986.gif,,2026-06-03T09:42:56
987,Levantamento Frontal De Cabo Com Dois Braços,Outros,OMBROS/Levantamento frontal de cabo com dois braços.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490577/exercicios/gif/variacao-987.gif,,2026-06-03T09:42:57
989,Elevação Lateral De Braços Com Cabo,Elevação Lateral,OMBROS/Elevação lateral de braços com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490578/exercicios/gif/variacao-989.gif,,2026-06-03T09:42:59
990,Desenvolvimento De Ombro Reversa Na Máquina,Desenvolvimento,OMBROS/Desenvolvimento de ombro reversa na máquina.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490579/exercicios/gif/variacao-990.gif,,2026-06-03T09:43:00
992,Desenvolvimento De Ombro Na Máquina (Pegada Martelo),Desenvolvimento,OMBROS/Desenvolvimento de ombro na máquina (pegada martelo).gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490580/exercicios/gif/variacao-992.gif,,2026-06-03T09:43:01
1000,Desenvolvimento De Ombro Com Halteres Em Forma De W,Desenvolvimento,OMBROS/Desenvolvimento de ombro com halteres em forma de W.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490581/exercicios/gif/variacao-1000.gif,,2026-06-03T09:43:02
