id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
1158,Elevação De Perna,Outros,,MATCH,GIFS ABDOMINAIS/Elevação de Pernas.gif,0.8914,
1159,Abdominal De Rã Com Bola De Exercícios,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal de Rã com Bola de Exercícios.gif,1.0000,
1160,Abdominal Com Peso,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal com Peso.gif,1.0000,
1161,Abdominal Bicicleta,Abdominal,,MATCH,GIFS ABDOMINAIS/Abdominal Bicicleta.gif,1.0000,
1162,Abdominal Com Elevação,Abdominal,,SEM_MATCH,,,
1163,Abdominal Com Joelhos,Abdominal,,SEM_MATCH,,,
1164,Abdominal Com Bola,Abdominal,,SEM_MATCH,,,
1165,Abdominal Com Braços,Abdominal,,SEM_MATCH,,,
1166,Protração E Retração Da Escápula,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Protração e retração da escápula.gif,1.0000,
1167,Inclinação,Outros,,SEM_MATCH,,,
1168,Levantamento De Braço Apoiado,Outros,,SEM_MATCH,,,
1169,Postura De Peixe,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Postura de peixe.gif,1.0000,
1170,Joelho Alternado No Peito,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Joelho Alternado no Peito.gif,1.0000,
1171,Pêndulo De Ombro,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Pêndulo de ombro.gif,1.0000,
1172,Postura Da Virilha,Outros,,SEM_MATCH,,,
1173,Flexão Alternada De Ombro,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Flexão alternada de ombro.gif,1.0000,
1174,Postura Da Cobra - Alongamento,Outros,,SEM_MATCH,,,
1175,Exercício De Bailarina,Outros,,SEM_MATCH,,,
1176,Rotação Interna Do Ombro,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação interna do ombro.gif,1.0000,
1177,Toque Lateral Dos Dedos Dos Pés Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Toque Lateral dos Dedos dos Pés em Pé.gif,1.0000,
1178,Torção Oblíqua,Outros,,SEM_MATCH,,,
1179,Postura Do Sapo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Postura do sapo.gif,1.0000,
1180,Postura De Meio Sapo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Postura de meio sapo.gif,1.0000,
1181,Postura Do Bebê Feliz,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Postura do Bebê Feliz.gif,1.0000,
1182,Rotação Interna Do Quadril Sentado Com Faixa Elástica,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação Interna do Quadril Sentado com Faixa Elástica.gif,1.0000,
1183,Rotação Externa Do Pé Com Faixa Elástica,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação Externa do Pé com Faixa Elástica.gif,1.0000,
1184,Rotação Externa De Quadril Sentado Com Faixa Elástica,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação Externa de Quadril Sentado com Faixa Elástica.gif,1.0000,
1185,Rotação Externa De Quadril Com Faixa Elástica,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação Externa De Quadril Com Faixa Elástica.gif,1.0000,
1186,Rotação Espinhal,Outros,,SEM_MATCH,,,
1187,Rolando Como Uma Bola,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rolando como uma Bola.gif,1.0000,
1188,Alongamento Do Peito E Parte Frontal Dos,Outros,,SEM_MATCH,,,
1189,Toque Nos Dedos Dos Pés,Outros,,SEM_MATCH,,,
1190,Rotação Para Trás,Outros,,SEM_MATCH,,,
1191,Rotação Interna Do Ombro Sentada Com Cabo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação interna do ombro sentada com cabo.gif,1.0000,
1192,Toques De Dedos Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Toques de Dedos em Pé.gif,1.0000,
1193,Exercício De Retração Escapular,Outros,,SEM_MATCH,,,
1194,Postura Do Arco,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Postura do Arco.gif,1.0000,
1195,Rotação Interna De Ombro Com Cabo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação interna de ombro com cabo.gif,1.0000,
1196,Rotação Externa Do Ombro Deitado,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação externa do ombro.gif,0.8571,
1197,Rolamento De Espuma Nos Quadríceps,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rolamento de espuma nos quadríceps.gif,1.0000,
1198,Toque Nos Dedos Dos Pés Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Toque nos Dedos dos Pés em Pé.gif,1.0000,
1199,Rotação Do Corpo Superior,Outros,,SEM_MATCH,,,
1200,Rotação Externa Com Cabo A 90 Graus,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação externa com cabo a 90 graus.gif,1.0000,
1201,Rotação Da Coluna Torácica,Outros,,SEM_MATCH,,,
1202,Dorsiflexão,Outros,,SEM_MATCH,,,
1203,Elevação Lateral De Deltóide Posterior,Elevação Lateral,,SEM_MATCH,,,
1204,Rotação Externa Com Cabo Em Posição,Outros,,SEM_MATCH,,,
1205,Rotação Externa Do Ombro,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação externa do ombro.gif,1.0000,
1206,Quadrúpede Com Elevação De Braço E Perna,Outros,,SEM_MATCH,,,
1207,Rotação Interna De Cabo A 90 Graus,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação interna de cabo a 90 graus.gif,1.0000,
1208,Rolo De Espuma Para Ombro E Peito,Outros,,SEM_MATCH,,,
1209,Contração,Outros,,SEM_MATCH,,,
1210,Rolo De Espuma Para Fascite,Outros,,SEM_MATCH,,,
1211,Rolo De Espuma Ombro,Outros,,SEM_MATCH,,,
1212,Rolamento De Espuma Para,Outros,,SEM_MATCH,,,
1213,Alongamento Em Círculos Nos,Outros,,SEM_MATCH,,,
1214,Rolo De Espuma Para Os Glúteos,Glúteo,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rolo de Espuma para os Glúteos.gif,1.0000,
1215,Arremesso De Bola De Reação,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Arremesso de Bola de Reação.gif,1.0000,
1216,Alongamento Reverso De Pulso,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento Reverso de Pulso.gif,1.0000,
1217,Alongamento Dos Ombros Por Trás Das,Outros,,SEM_MATCH,,,
1218,Alongamento Lateral Da Parte Interna Da Coxa,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento Lateral da Parte Interna da Coxa.gif,1.0000,
1219,Rotação Externa De Ombro Com Cabo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação Externa de Ombro com Cabo.gif,1.0000,
1220,Alongamento Sentado Para A Panturrilha Com Perna,Panturrilha,,SEM_MATCH,,,
1221,Rotação Externa De Ombro Com Faixa Elástica,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação externa de ombro com faixa elástica.gif,1.0000,
1222,Rotação Externa De Halteres Apoiada No Banco,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação externa de halteres apoiada no banco.gif,1.0000,
1223,Rotação Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação em Pé.gif,1.0000,
1224,Alongamento Inclinado Lateral Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento Inclinado Lateral em Pé.gif,1.0000,
1225,Alongamento,Outros,,SEM_MATCH,,,
1226,Alongamento Dos Flexores Do Quadril Em Posição,Outros,,SEM_MATCH,,,
1227,Alongamento Do Peitoral Até As,Outros,,SEM_MATCH,,,
1228,Alongamento Dos Flexores De Quadril,Outros,,SEM_MATCH,,,
1229,Alongamento Do Peitoral E Do Ombro Na Porta,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento do peitoral e do ombro na porta.gif,1.0000,
1230,Alongamento Reverso Assistido (Peito E Ombro),Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento reverso assistido (peito e ombro).gif,1.0000,
1231,Alongamentos De Pés E,Outros,,SEM_MATCH,,,
1232,Alongamento Dos Adutores,Outros,,SEM_MATCH,,,
1233,Rolagem De Espuma Para,Outros,,SEM_MATCH,,,
1234,Alongamento Dos Adutores Em Posição Sentada Com Pernas,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento dos Adutores em Posição Sentada com Pernas Abertas.gif,0.8510,
1235,Rotação De Pé E,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Rotação em Pé.gif,0.8571,
1236,Deslize De Parede Do Serrátil Com Rolo,Outros,,SEM_MATCH,,,
1237,Círculos Com Os Braços,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Círculos com os braços.gif,1.0000,
1238,Alongamento Do Trato Iliotibial Com Rolo,Outros,,SEM_MATCH,,,
1239,Alongamento Na Parede Do Canto,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento na parede do canto.gif,1.0000,
1240,Alongamento Do Manguito,Outros,,SEM_MATCH,,,
1241,Alongamento Do Desviador Ulnar E Extensor Do Punho,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento do desviador ulnar e extensor do punho.gif,1.0000,
1242,Alongamento De Punho,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de Punho.gif,1.0000,
1243,Rolamento De Espuma Nos,Outros,,SEM_MATCH,,,
1244,Alongamento Do Peito Com Rolo,Outros,,SEM_MATCH,,,
1245,Alongamento Dos Adutores Com Pernas Abertas Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento dos Adutores com Pernas Abertas em Pé.gif,1.0000,
1246,Alongamento Dos Isquiotibiais,Outros,,SEM_MATCH,,,
1247,Alongamento Em Pé Dos Quadríceps,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento em Pé dos Quadríceps.gif,1.0000,
1248,Alongamento Do Tibial,Outros,,SEM_MATCH,,,
1249,Alongamento Dos Adutores Da Coxa Com Rolo,Outros,,SEM_MATCH,,,
1250,Alongamento De Quadríceps Em Quatro,Outros,,SEM_MATCH,,,
1251,Rolamento De Espuma Nas,Outros,,SEM_MATCH,,,
1252,Alongamento Do Tendão De Aquiles Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento do tendão de Aquiles em pé.gif,1.0000,
1253,Alongamento Do Peitoral Com Um Braço Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento do Peitoral com um Braço em Pé.gif,1.0000,
1254,Alongamento Dos Adutores Com A Perna Estendida,Outros,,SEM_MATCH,,,
1255,Alongamento Dos Extensores Dos Dedos Dos Pés,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento dos Extensores dos Dedos dos Pés.gif,1.0000,
1256,Alongamento Dos Flexores Dos Dedos Dos Pés Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento dos flexores dos dedos dos pés em pé.gif,1.0000,
1257,Alongamento Do Peito Acima Da Cabeça,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento do Peito Acima da Cabeça.gif,1.0000,
1258,Alongamento De Panturrilha Em Posição Estática,Panturrilha,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de panturrilha em posição estática.gif,1.0000,
1259,Círculos Com Um Braço,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Círculos com um braço.gif,1.0000,
1260,Alongamento Dinâmico,Outros,,SEM_MATCH,,,
1261,Alongamento Dos Isquiotibiais Em Pé,Outros,,AMBIGUO,,1.0000,"AMBÍGUO: melhor=Alongamento dos isquiotibiais em pé(1.000), segundo=Alongamento de Isquiotibiais em Pé(0.957), gap=0.043"
1262,Alongamento Do Piriforme,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento Piriforme.gif,0.9333,
1263,Alongamento Do Gastrocnêmio Com Joelho,Outros,,SEM_MATCH,,,
1264,Alongamento Dos Isquiotibiais Em Pé Com A Perna,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento dos isquiotibiais em pé.gif,0.8537,
1265,Alongamento Do Ombro,Outros,,SEM_MATCH,,,
1266,Alongamento De Rotação Da Coluna Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de rotação da coluna em pé.gif,1.0000,
1267,Alongamento De Panturrilha,Panturrilha,,SEM_MATCH,,,
1268,Alongamento De Pernas Duplo,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de Pernas Duplo.gif,1.0000,
1269,Alongamento De Panturrilha Em Passo Largo,Panturrilha,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de panturrilha em passo largo.gif,1.0000,
1270,Alongamento De Quadril 90-90,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de quadril 90-90.gif,1.0000,
1271,Alongamento De Quadríceps,Outros,,SEM_MATCH,,,
1272,Alongamento De Isquiotibiais,Outros,,SEM_MATCH,,,
1273,Alongamento De Tríceps Em Pé,Tríceps,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de tríceps em pé.gif,1.0000,
1274,Alongamento De Ombro Com O Braço,Outros,,SEM_MATCH,,,
1275,Alongamento De Panturrilha Com Uma Perna,Panturrilha,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de panturrilha com uma perna.gif,1.0000,
1276,Catavento,Outros,,SEM_MATCH,,,
1277,Alongamento De Adutores Com Pernas Afastadas Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de Adutores com Pernas Afastadas em Pé.gif,1.0000,
1278,Alongamento Da Parte Superior Das,Outros,,SEM_MATCH,,,
1279,Alongamento Das Costas Com Rolo,Outros,,SEM_MATCH,,,
1280,Alongamento De Isquiotibiais Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de Isquiotibiais em Pé.gif,1.0000,
1281,Alongamento De Glúteos,Glúteo,,SEM_MATCH,,,
1282,Alongamento Da Panturrilha Com Descida,Panturrilha,,SEM_MATCH,,,
1283,Alongamento De Panturrilha Com Corda,Panturrilha,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de Panturrilha com Corda.gif,1.0000,
1284,Alongamento Da Panturrilha,Panturrilha,,SEM_MATCH,,,
1285,Alongamento De Ombro Reverso Em Pé,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento de ombro reverso em pé.gif,1.0000,
1286,Alongamento Assistido Reverso (Peitoral E Ombro),Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento assistido reverso (peitoral e ombro).gif,1.0000,
1287,Alongamento Com Pvc Na Posição Frontal De Rack,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Alongamento com PVC na Posição Frontal de Rack.gif,1.0000,
1288,Adução De Pernas (Alongamento Do Adutor Maior),Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/adução de pernas (alongamento do adutor maior).gif,1.0000,
1289,Adução De Quadril Deitado De Lado,Outros,,MATCH,GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO/Adução de quadril deitado de lado.gif,1.0000,
1290,Alongamento Do Peitoral,Outros,,SEM_MATCH,,,
1291,Flexão De Punho,Outros,,SEM_MATCH,,,
1292,Barra Fixa Com Salto,Outros,,MATCH,GIFS CALISTENIA/Barra fixa com Salto.gif,1.0000,
1293,Flexão De Diamante,Outros,,SEM_MATCH,,,
1294,Barra Fixa Com L-Sit,Outros,,MATCH,GIFS CALISTENIA/Barra fixa com L-sit.gif,1.0000,
1295,Barra Fixa Com Pegada Invertida,Outros,,SEM_MATCH,,,
1296,Avanço Sem Peso,Outros,,SEM_MATCH,,,
1297,Barra Fixa Com Pegada,Outros,,SEM_MATCH,,,
1298,Barra Fixa Com Giro,Outros,,MATCH,GIFS CALISTENIA/Barra Fixa com Giro.gif,1.0000,
1299,Flexão,Outros,,SEM_MATCH,,,
1300,Bandeira,Outros,,SEM_MATCH,,,
1301,Flexão De Peito Com Trx,Outros,,MATCH,GIFS CALISTENIA/Flexão de Peito com TRX.gif,1.0000,
1302,Barra Fixa Com Braços,Outros,,SEM_MATCH,,,
1303,Back Lever,Outros,,MATCH,GIFS CALISTENIA/Back Lever.gif,1.0000,
1304,Flexão De Perna Com Halteres Em Decúbito,Outros,,SEM_MATCH,,,
1305,Flexão De Dedos,Outros,,MATCH,GIFS CALISTENIA/Flexão de Dedos.gif,1.0000,
1306,Barra Fixa Com Arco,Outros,,MATCH,GIFS CALISTENIA/Barra fixa com Arco.gif,1.0000,
1307,Paralelas,Outros,,MATCH,PEITORAL/Paralelas.gif,1.0000,
1308,Andar De Pato,Outros,,MATCH,GIFS CALISTENIA/Andar de Pato.gif,1.0000,
1309,Barra Fixa Assistida Com Faixa Elástica,Outros,,MATCH,GIFS CALISTENIA/Barra fixa Assistida com Faixa Elástica.gif,1.0000,
1310,Planche Com Flexão De Braço,Outros,,MATCH,GIFS CALISTENIA/Planche com Flexão de Braço.gif,1.0000,
1311,Puxada Escapular Na Barra Fixa,Puxada,,MATCH,GIFS CALISTENIA/Puxada escapular na barra fixa.gif,1.0000,
1312,Remada Com O Peso Do Corpo Na Porta,Remada,,MATCH,GIFS CALISTENIA/Remada com o Peso do Corpo na Porta.gif,1.0000,
1313,Flexão De Braço Na Parede Com Pegada,Outros,,SEM_MATCH,,,
1314,Flexão De Braço Com Bola Medicinal Com Apoio Em Um Braço,Outros,,AMBIGUO,,1.0000,"AMBÍGUO: melhor=Flexão de Braço com Bola Medicinal com Apoio em Um Braço(1.000), segundo=Flexão de Braço com Bola Medicinal com Apoio em Um Braço(1.000), gap=0.000"
1315,Agachamento Sissy Ajoelhado Com Peso,Agachamento,,SEM_MATCH,,,
1316,Puxada Front Lever,Puxada,,MATCH,GIFS CALISTENIA/Puxada Front Lever.gif,1.0000,
1317,Flexão De Cotovelos Na Barra,Outros,,MATCH,GIFS CALISTENIA/Flexão de Cotovelos na Barra.gif,1.0000,
1318,Agachamento Sumô Sem Pesos,Agachamento,,MATCH,GIFS CALISTENIA/Agachamento Sumô sem Pesos.gif,1.0000,
1319,Flexão De Braços Com Apoio Dos Joelhos,Outros,,SEM_MATCH,,,
1320,Flexão De Braço Com Uma Perna,Outros,,AMBIGUO,,1.0000,"AMBÍGUO: melhor=Flexão de Braço com Uma Perna(1.000), segundo=Flexão de Braço com Uma Perna(1.000), gap=0.000"
1321,Paralelas Entre,Outros,,SEM_MATCH,,,
1322,Agachamento Pistola Na Caixa,Agachamento,,MATCH,GIFS CALISTENIA/Agachamento Pistola na Caixa.gif,1.0000,
1323,Flexão De Braços Com Toque No Ombro,Outros,,MATCH,GIFS CALISTENIA/Flexão de Braços com Toque no Ombro.gif,1.0000,
1324,Agachamento Pistola,Agachamento,,SEM_MATCH,,,
1325,Flexão De Braço Declinada Com Bola,Outros,,SEM_MATCH,,,
1326,Flexões De Apoio De Mão,Outros,,SEM_MATCH,,,
1327,Muscle Up,Outros,,MATCH,GIFS CALISTENIA/Muscle up.gif,1.0000,
1328,Agachamento Pistol Com Trx,Agachamento,,MATCH,GIFS CALISTENIA/Agachamento Pistol com TRX.gif,1.0000,
1329,Flexão Com Toque No Peito,Outros,,MATCH,GIFS CALISTENIA/Flexão com Toque no Peito.gif,1.0000,
1330,Mergulho,Outros,,SEM_MATCH,,,
1331,Suspensão,Outros,,SEM_MATCH,,,
1332,Puxada Isométrica,Puxada,,MATCH,GIFS CALISTENIA/Puxada isométrica.gif,1.0000,
1333,Wall Sit Com Inclinação,Outros,,SEM_MATCH,,,
1334,Tesoura De Braços,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Tesoura de Braços.gif,1.0000,
1335,Tríceps Francês Em Pé,Tríceps Francês,,SEM_MATCH,,,
1336,Supino Em Pé Com Faixa Elástica,Supino,,MATCH,GIFS TREINAMENTO FUNCIONAL/Supino em Pé com Faixa Elástica.gif,1.0000,
1337,Flexão De Pernas Deitado Com Faixa Elástica,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão de Pernas deitado com Faixa Elástica.gif,1.0000,
1338,Tríceps Francês Com Faixa Elástica Acima Da Cabeça,Tríceps Francês,,MATCH,GIFS TREINAMENTO FUNCIONAL/Tríceps Francês com Faixa Elástica Acima da Cabeça.gif,1.0000,
1339,Salto Na Caixa,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Salto na Caixa.gif,1.0000,
1340,Tração Lateral Com Elástico,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Tração lateral com elástico.gif,1.0000,
1341,Flexão De Pernas Com Faixa Elástica,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão de Pernas com Faixa Elástica.gif,1.0000,
1342,Flexão De Ombro Com Faixa,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão de ombro com faixa.gif,1.0000,
1343,Step Com Elástico,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Step com elástico.gif,1.0000,
1344,Salto Para Trás,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Salto para Trás.gif,1.0000,
1345,Stiff Com Elástico De Resistência,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Stiff com Elástico de Resistência.gif,1.0000,
1346,Salto Na Caixa Para Agachamento,Agachamento,,SEM_MATCH,,,
1347,Snap Jumps,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Snap Jumps.gif,1.0000,
1348,Agachamento Goblet Com Kettlebell E Faixa Elástica,Agachamento,,MATCH,GIFS TREINAMENTO FUNCIONAL/Agachamento Goblet com Kettlebell e Faixa Elástica.gif,1.0000,
1349,Agachamento No Banco Com Peso,Agachamento,,SEM_MATCH,,,
1350,Elevação De Panturrilha Com Faixa Elástica De Resistência,Panturrilha,,MATCH,GIFS TREINAMENTO FUNCIONAL/Elevação de Panturrilha com Faixa Elástica de Resistência.gif,1.0000,
1351,Elevação De Pernas Deitado De Lado,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Elevação de Pernas deitado de Lado.gif,1.0000,
1352,Elevação Da Perna Em Pé Com Faixa Elástica De Resistência,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Elevação da Perna em Pé com Faixa Elástica de Resistência.gif,1.0000,
1353,Agachamento Dividido,Agachamento,,SEM_MATCH,,,
1354,Flexão De Braço No Bosu,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão de Braço no Bosu.gif,1.0000,
1355,Elevação De Panturrilha Em Pé,Panturrilha,,MATCH,GIFS TREINAMENTO FUNCIONAL/Elevação de panturrilha em pé.gif,1.0000,
1356,Salto Para Caixa 2 Para 1,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Salto para Caixa 2 para 1.gif,1.0000,
1357,Saltos Com Joelhos Altos,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Saltos com Joelhos Altos.gif,1.0000,
1358,Flexão De Braço Com Bola,Outros,,SEM_MATCH,,,
1359,Agachamento Com Elevação Dos,Agachamento,,SEM_MATCH,,,
1360,Saltos Pliométricos Em Zigue-Zague,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Saltos Pliométricos em Zigue-Zague.gif,1.0000,
1361,Desenvolvimento Militar Atrás Da Cabeça,Desenvolvimento,,SEM_MATCH,,,
1362,Agachamento Com Chute Lateral E Toque,Agachamento,,SEM_MATCH,,,
1363,Elevação Com Giro Do Cotovelo Oposto Para O,Outros,,SEM_MATCH,,,
1364,Desenvolvimento Militar Com Peso Do Corpo,Desenvolvimento,,MATCH,GIFS TREINAMENTO FUNCIONAL/Desenvolvimento militar com peso do corpo.gif,1.0000,
1365,Cópia De Abdominal De Rã Com Bola De Exercícios,Abdominal,,MATCH,GIFS TREINAMENTO FUNCIONAL/Cópia de Abdominal de Rã com Bola de Exercícios.gif,1.0000,
1366,Nave Seal,Outros,,SEM_MATCH,,,
1367,Rosca Martelo Com Garrafa De Água,Rosca Martelo,,MATCH,GIFS TREINAMENTO FUNCIONAL/Rosca martelo com garrafa de água.gif,1.0000,
1368,Agachamento Com Faixa Elástica Em,Agachamento,,SEM_MATCH,,,
1369,Agachamento Com Faixa Elástica Sobre A Cabeça,Agachamento,,MATCH,GIFS TREINAMENTO FUNCIONAL/Agachamento com Faixa Elástica sobre a Cabeça.gif,1.0000,
1370,Flexão Com Rotação,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão com Rotação.gif,1.0000,
1371,Salto Em Distância,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Salto em Distância.gif,1.0000,
1372,Chutes Alternados De Glúteos No Banco,Glúteo,,MATCH,GIFS TREINAMENTO FUNCIONAL/Chutes Alternados de Glúteos no Banco.gif,1.0000,
1373,Salto Com Halteres,Outros,,SEM_MATCH,,,
1374,Agachamento Camarão,Agachamento,,MATCH,GIFS TREINAMENTO FUNCIONAL/Agachamento Camarão.gif,1.0000,
1375,Desenvolvimento Lateral,Desenvolvimento,,SEM_MATCH,,,
1376,Salto Em Uma Perna Para A,Outros,,SEM_MATCH,,,
1377,Flexão Cobra,Outros,,MATCH,GIFS TREINAMENTO FUNCIONAL/Flexão cobra.gif,1.0000,
1378,Rosca Bíceps Com Faixa Elástica,Rosca,,MATCH,GIFS TREINAMENTO FUNCIONAL/Rosca bíceps com faixa elástica.gif,1.0000,
1379,Salto Em Agachamento Com Joelhos,Agachamento,,SEM_MATCH,,,
1380,Agachamento Búlgaro Com Peso,Agachamento,,SEM_MATCH,,,
1381,Remada Unilateral,Remada,,SEM_MATCH,,,
1382,Extensão De Tríceps Com Faixas Elá,Tríceps,,SEM_MATCH,,,
1383,Rosca De Bíceps Unilateral Com Faixa De Resistência,Rosca,,MATCH,GIFS TREINAMENTO FUNCIONAL/Rosca de bíceps unilateral com faixa de resistência.gif,1.0000,
