id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
789,Máquina De Elevação Lateral,Elevacao Lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636150/exercicios/gif/variacao-789-maquina-de-elevacao-lateral,VALIDO,,,
790,Tríceps Pulley Barra,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636151/exercicios/gif/variacao-790-triceps-pulley-barra,VALIDO,,,
791,,Outros,Agachamento,VALIDO,,,
792,Abdução De Quadril Com Cabo,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636153/exercicios/gif/variacao-792-abducao-de-quadril-com-cabo,VALIDO,,,
793,Elevação De Panturrilha No Leg Press Horizontal,Leg,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636154/exercicios/gif/variacao-793-elevacao-de-panturrilha-no-leg-press-horizontal,VALIDO,,,
794,Tríceps Francês Com Halter,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636156/exercicios/gif/variacao-794-triceps-frances-com-halter,VALIDO,,,
795,Rosca Bíceps Com Pegada Fechada Na Barra W,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636157/exercicios/gif/variacao-795-rosca-biceps-com-pegada-fechada-na-barra-w,VALIDO,,,
796,Supino No Banco Inclinado 30 Graus Com Pegada,Supino,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779667939/exercicios/gif/variacao-796-supino-no-banco-inclinado-30-graus-com-pegada,VALIDO,,,
797,Remada Curvada Com Barra,Remada,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636160/exercicios/gif/variacao-797-remada-curvada-com-barra,VALIDO,,,
798,Remada Inclinada Com Cabo,Remada,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636161/exercicios/gif/variacao-798-remada-inclinada-com-cabo,VALIDO,,,
799,Remada Curvada,Remada,exercicios/gif/dausl7zavjn36lhfupwg,VALIDO,,,
800,Rosca,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636163/exercicios/gif/variacao-800-rosca,VALIDO,,,
801,Flexão De Braço,Outros,Flexão_de_braço_com_palmas,VALIDO,,,
802,Puxada Com Um Braço Com Cabo,Puxada,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636164/exercicios/gif/variacao-802-puxada-com-um-braco-com-cabo,VALIDO,,,
803,Voador No Pec Deck,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636165/exercicios/gif/variacao-803-voador-no-pec-deck,VALIDO,,,
804,Rosca Alternada Com Halteres Sentado,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636167/exercicios/gif/variacao-804-rosca-alternada-com-halteres-sentado,VALIDO,,,
805,Remada Sentado Com Cabo Pegada,Remada,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636168/exercicios/gif/variacao-805-remada-sentado-com-cabo-pegada,VALIDO,,,
806,Cadeira Extensora,Extensora,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636170/exercicios/gif/variacao-806-cadeira-extensora,VALIDO,,,
807,Desenvolvimento De Ombros Com Halteres Em Pé Com Pegada,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636171/exercicios/gif/variacao-807-desenvolvimento-de-ombros-com-halteres-em-pe-com-pegada,VALIDO,,,
808,Supino Inclinado Com Barra,Supino,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636172/exercicios/gif/variacao-808-supino-inclinado-com-barra,VALIDO,,,
809,Tríceps Testa Pegada Neutra,Tríceps,Tríceps_testa_pegada_neutra_com_halteres,VALIDO,,,
810,Supino Com Pegada,Supino,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636174/exercicios/gif/variacao-810-supino-com-pegada,VALIDO,,,
811,Máquina De Adução De Quadril,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636176/exercicios/gif/variacao-811-maquina-de-aducao-de-quadril,VALIDO,,,
812,Máquina De Elevação,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636177/exercicios/gif/variacao-812-maquina-de-elevacao,VALIDO,,,
813,Tríceps Pulley Barra V,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636178/exercicios/gif/variacao-813-triceps-pulley-barra-v,VALIDO,,,
814,Elevação Lateral Cruzada,Elevacao Lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636180/exercicios/gif/variacao-814-elevacao-lateral-cruzada,VALIDO,,,
815,Puxada Alta,Puxada,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636181/exercicios/gif/variacao-815-puxada-alta,VALIDO,,,
816,Elevação Lateral De Braços,Elevacao Lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636182/exercicios/gif/variacao-816-elevacao-lateral-de-bracos,VALIDO,,,
817,Supino Na Máquina Smith,Supino,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636184/exercicios/gif/variacao-817-supino-na-maquina-smith,VALIDO,,,
818,Tríceps Testa Pegada Neutra Com Halteres,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636185/exercicios/gif/variacao-818-triceps-testa-pegada-neutra-com-halteres,VALIDO,,,
819,Stiff Com Halter,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636187/exercicios/gif/variacao-819-stiff-com-halter,VALIDO,,,
820,Elevação Pélvica Unilateral Com Barra,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636188/exercicios/gif/variacao-820-elevacao-pelvica-unilateral-com-barra,VALIDO,,,
821,Stiff,Outros,exercicios/gif/bjcrtvwsinergmzziwze,VALIDO,,,
822,Desenvolvimento De Ombro No Banco Com Halteres,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636189/exercicios/gif/variacao-822-desenvolvimento-de-ombro-no-banco-com-halteres,VALIDO,,,
823,Desenvolvimento De Ombro Na Máquina Pegada,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636190/exercicios/gif/variacao-823-desenvolvimento-de-ombro-na-maquina-pegada,VALIDO,,,
824,Rosca Alternada Com Halteres,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636192/exercicios/gif/variacao-824-rosca-alternada-com-halteres,VALIDO,,,
825,Desenvolvimento Militar Com Barra,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636194/exercicios/gif/variacao-825-desenvolvimento-militar-com-barra,VALIDO,,,
