id,exercicio,variacao,score,gif_origem,gif_name
1349,Agachamento,Agachamento No Banco Com Peso,90.11,1738,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491279/exercicios/gif/variacao-1738.gif
1353,Agachamento,Agachamento Dividido,87.67,1740,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491282/exercicios/gif/variacao-1740.gif
1359,Agachamento,Agachamento Com Elevação Dos,90.91,1743,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491286/exercicios/gif/variacao-1743.gif
1361,Desenvolvimento,Desenvolvimento Militar Atrás Da Cabeça,89.43,1745,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491288/exercicios/gif/variacao-1745.gif
1362,Agachamento,Agachamento Com Chute Lateral E Toque,88.29,1746,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491289/exercicios/gif/variacao-1746.gif
1363,Outros,Elevação Com Giro Do Cotovelo Oposto Para O,93.46,1747,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491290/exercicios/gif/variacao-1747.gif
1368,Agachamento,Agachamento Com Faixa Elástica Em,92.78,1749,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491294/exercicios/gif/variacao-1749.gif
1375,Desenvolvimento,Desenvolvimento Lateral,88.57,751,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636107/exercicios/gif/variacao-751-desenvolvimento.gif
1376,Outros,Salto Em Uma Perna Para A,90.14,1753,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491298/exercicios/gif/variacao-1753.gif
1379,Agachamento,Salto Em Agachamento Com Joelhos,88.0,1754,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491299/exercicios/gif/variacao-1754.gif
1380,Agachamento,Agachamento Búlgaro Com Peso,93.83,1384,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490847/exercicios/gif/variacao-1384.gif
1382,Tríceps,Extensão De Tríceps Com Faixas Elá,93.33,1757,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491302/exercicios/gif/variacao-1757.gif
1391,Remada,Remada Com Banda De Resistência Curvada Para Deltoides,92.42,1761,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491307/exercicios/gif/variacao-1761.gif
1396,Tríceps,Extensão De Tríceps Com Elástico Na Posição,90.27,1765,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491313/exercicios/gif/variacao-1765.gif
1509,Elevação Lateral,Elevação Lateral Alternada Com Halteres,87.5,1517,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491009/exercicios/gif/variacao-1517.gif
1727,Outros,Flexão De Braço Declinada Com Bola De Estabilidade,90.38,1742,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491284/exercicios/gif/variacao-1742.gif
1851,Alongamento,Alongamento Dos Isquiotibiais Em Pé,96.77,1866,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491441/exercicios/gif/variacao-1866.gif
1874,Alongamento,Alongamento Do Peitoral Reverso,86.75,1816,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491381/exercicios/gif/variacao-1816.gif
