id,exercicio,variacao,score,gif_origem,gif_name
923,Tríceps,Extensão De Tríceps Com Cabo,98.63,826,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636195/exercicios/gif/variacao-826-extensao-de-triceps-com-cabos.gif
924,Tríceps Francês,Tríceps Francês Alternada Com Halteres No Banco,92.65,1478,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490957/exercicios/gif/variacao-1478.gif
925,Outros,Extensão Concentrada Com Cabo,87.8,1479,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490959/exercicios/gif/variacao-1479.gif
928,Tríceps Francês,Tríceps Francês Com Halter,97.67,1475,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490953/exercicios/gif/variacao-1475.gif
929,Tríceps,Extensão De Tríceps Invertida,87.06,1491,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490975/exercicios/gif/variacao-1491.gif
930,Tríceps,Extensão De Tríceps Com Barra W,91.14,933,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490545/exercicios/gif/variacao-933.gif
935,Tríceps Testa,Tríceps Testa Pegada Neutra,92.11,809,Tríceps_testa_pegada_neutra_com_halteres.gif
936,Tríceps Testa,Tríceps Testa Com Barra Pegada,91.36,941,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490551/exercicios/gif/variacao-941.gif
937,Tríceps,Tríceps Pulley Pegada,87.72,747,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636102/exercicios/gif/variacao-747-triceps-pulley-corda.gif
942,Tríceps Testa,Extensão De Tríceps Testa Declinado,92.45,1489,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490972/exercicios/gif/variacao-1489.gif
943,Tríceps Testa,Tríceps Testa Com Banco Declinado,87.85,1490,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490973/exercicios/gif/variacao-1490.gif
944,Tríceps,Extensão De Tríceps Com Pegada,88.37,1491,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490975/exercicios/gif/variacao-1491.gif
946,Tríceps Francês,Tríceps Francês Com Barra W Acima Da Cabeça,93.65,1495,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490979/exercicios/gif/variacao-1495.gif
947,Tríceps,Extensão De Tríceps Com Cabo Na Posição,89.52,1497,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490982/exercicios/gif/variacao-1497.gif
948,Tríceps,Extensão De Tríceps Na Máquina Pegada,92.78,1498,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490984/exercicios/gif/variacao-1498.gif
949,Tríceps Francês,Tríceps Francês No Banco Inclinado,90.09,1499,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490985/exercicios/gif/variacao-1499.gif
950,Tríceps,Extensão De Tríceps No Cabo,93.33,914,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490531/exercicios/gif/variacao-914.gif
953,Elevação Lateral,Elevação Lateral Unilateral,90.72,1005,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490582/exercicios/gif/variacao-1005.gif
954,Remada,Remada De Deltoide Posterior Sentado,87.76,1502,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490989/exercicios/gif/variacao-1502.gif
955,Elevação Lateral,Elevação Lateral Com Braço,90.53,989,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490578/exercicios/gif/variacao-989.gif
956,Desenvolvimento,Desenvolvimento De Ombros Com Barra W Com Pegada,92.75,1504,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490991/exercicios/gif/variacao-1504.gif
958,Desenvolvimento,Desenvolvimento Cubano Sentado,87.62,1505,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490992/exercicios/gif/variacao-1505.gif
960,Remada,Remada Inversa Com Cabos,88.57,1506,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490995/exercicios/gif/variacao-1506.gif
962,Elevação Lateral,Elevação Lateral De Halteres,90.0,1508,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490998/exercicios/gif/variacao-1508.gif
963,Elevação Lateral,Elevação Lateral Alternada,88.1,1521,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491016/exercicios/gif/variacao-1521.gif
965,Elevação Lateral,Elevação Lateral Cruzada,95.12,814,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636180/exercicios/gif/variacao-814-elevacao-lateral-cruzada.gif
966,Remada,Remada Lateral Com Halteres,89.47,1512,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491002/exercicios/gif/variacao-1512.gif
967,Desenvolvimento,Desenvolvimento Militar Com Pegada,92.59,1513,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491003/exercicios/gif/variacao-1513.gif
970,Desenvolvimento,Desenvolvimento Militar Com Barra No Chão,92.45,825,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636194/exercicios/gif/variacao-825-desenvolvimento-militar-com-barra.gif
971,Elevação Lateral,Elevação Lateral E Frontal,86.87,1515,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491006/exercicios/gif/variacao-1515.gif
973,Elevação Lateral,Elevação Lateral Unilateral Com Haltere,99.12,1501,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490988/exercicios/gif/variacao-1501.gif
974,Elevação Lateral,Elevação Lateral De Braços,95.35,816,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636182/exercicios/gif/variacao-816-elevacao-lateral-de-bracos.gif
978,Outros,Elevação Frontal Com Barra,89.19,1518,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491011/exercicios/gif/variacao-1518.gif
984,Outros,Elevação Frontal Com Barra W,87.5,1520,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491015/exercicios/gif/variacao-1520.gif
991,Elevação Lateral,Elevação Lateral,89.19,1521,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491016/exercicios/gif/variacao-1521.gif
993,Desenvolvimento,Desenvolvimento De Ombro Com Barra,92.93,976,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490565/exercicios/gif/variacao-976.gif
994,Remada,Remada Com Halteres Para A Posterior,89.58,1523,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491019/exercicios/gif/variacao-1523.gif
995,Desenvolvimento,Desenvolvimento De Ombro,90.91,1525,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491022/exercicios/gif/variacao-1525.gif
996,Desenvolvimento,Desenvolvimento De Ombros Com Rotação Alternada,90.65,1526,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491024/exercicios/gif/variacao-1526.gif
