id,exercicio,variacao
1210,Outros,Rolo De Espuma Para Fascite
1211,Outros,Rolo De Espuma Ombro
1212,Outros,Rolamento De Espuma Para
1213,Outros,Alongamento Em Círculos Nos
1217,Outros,Alongamento Dos Ombros Por Trás Das
1220,Panturrilha,Alongamento Sentado Para A Panturrilha Com Perna
1225,Outros,Alongamento
1226,Outros,Alongamento Dos Flexores Do Quadril Em Posição
1227,Outros,Alongamento Do Peitoral Até As
1228,Outros,Alongamento Dos Flexores De Quadril
1231,Outros,Alongamentos De Pés E
1232,Outros,Alongamento Dos Adutores
1233,Outros,Rolagem De Espuma Para
1234,Outros,Alongamento Dos Adutores Em Posição Sentada Com Pernas
1235,Outros,Rotação De Pé E
1236,Outros,Deslize De Parede Do Serrátil Com Rolo
1238,Outros,Alongamento Do Trato Iliotibial Com Rolo
1240,Outros,Alongamento Do Manguito
1243,Outros,Rolamento De Espuma Nos
1244,Outros,Alongamento Do Peito Com Rolo
1246,Outros,Alongamento Dos Isquiotibiais
1248,Outros,Alongamento Do Tibial
1249,Outros,Alongamento Dos Adutores Da Coxa Com Rolo
1250,Outros,Alongamento De Quadríceps Em Quatro
1251,Outros,Rolamento De Espuma Nas
1254,Outros,Alongamento Dos Adutores Com A Perna Estendida
1260,Outros,Alongamento Dinâmico
1261,Outros,Alongamento Dos Isquiotibiais Em Pé
1262,Outros,Alongamento Do Piriforme
1263,Outros,Alongamento Do Gastrocnêmio Com Joelho
1264,Outros,Alongamento Dos Isquiotibiais Em Pé Com A Perna
1265,Outros,Alongamento Do Ombro
1267,Panturrilha,Alongamento De Panturrilha
1271,Outros,Alongamento De Quadríceps
1272,Outros,Alongamento De Isquiotibiais
1274,Outros,Alongamento De Ombro Com O Braço
1276,Outros,Catavento
1278,Outros,Alongamento Da Parte Superior Das
1279,Outros,Alongamento Das Costas Com Rolo
1281,Glúteo,Alongamento De Glúteos
1282,Panturrilha,Alongamento Da Panturrilha Com Descida
1284,Panturrilha,Alongamento Da Panturrilha
1290,Outros,Alongamento Do Peitoral
1291,Outros,Flexão De Punho
1295,Outros,Barra Fixa Com Pegada Invertida
1296,Outros,Avanço Sem Peso
1297,Outros,Barra Fixa Com Pegada
1299,Outros,Flexão
1300,Outros,Bandeira
1302,Outros,Barra Fixa Com Braços
1304,Outros,Flexão De Perna Com Halteres Em Decúbito
1313,Outros,Flexão De Braço Na Parede Com Pegada
1314,Outros,Flexão De Braço Com Bola Medicinal Com Apoio Em Um Braço
1315,Agachamento,Agachamento Sissy Ajoelhado Com Peso
1319,Outros,Flexão De Braços Com Apoio Dos Joelhos
1320,Outros,Flexão De Braço Com Uma Perna
1321,Outros,Paralelas Entre
1324,Agachamento,Agachamento Pistola
1325,Outros,Flexão De Braço Declinada Com Bola
1326,Outros,Flexões De Apoio De Mão
1330,Outros,Mergulho
1331,Outros,Suspensão
1333,Outros,Wall Sit Com Inclinação
1335,Tríceps Francês,Tríceps Francês Em Pé
1346,Agachamento,Salto Na Caixa Para Agachamento
1349,Agachamento,Agachamento No Banco Com Peso
1353,Agachamento,Agachamento Dividido
1358,Outros,Flexão De Braço Com Bola
1359,Agachamento,Agachamento Com Elevação Dos
1361,Desenvolvimento,Desenvolvimento Militar Atrás Da Cabeça
1362,Agachamento,Agachamento Com Chute Lateral E Toque
1363,Outros,Elevação Com Giro Do Cotovelo Oposto Para O
1366,Outros,Nave Seal
1368,Agachamento,Agachamento Com Faixa Elástica Em
1373,Outros,Salto Com Halteres
1375,Desenvolvimento,Desenvolvimento Lateral
1376,Outros,Salto Em Uma Perna Para A
1379,Agachamento,Salto Em Agachamento Com Joelhos
1380,Agachamento,Agachamento Búlgaro Com Peso
1381,Remada,Remada Unilateral
1382,Tríceps,Extensão De Tríceps Com Faixas Elá
1385,Outros,Cruzado
1386,Outros,Corda
1391,Remada,Remada Com Banda De Resistência Curvada Para Deltoides
1392,Outros,Gancho
1396,Tríceps,Extensão De Tríceps Com Elástico Na Posição
1398,Outros,Cruz De Ferro
1449,Outros,Flexão De Pernas Na Bola De Estabilidade
1466,L Sit,Wall Sit
1468,Outros,Subida No Step Com Elevação De Joelhos
1509,Elevação Lateral,Elevação Lateral Alternada Com Halteres
1547,Agachamento,Agachamento Com Sustentação E Elevação De Panturrilhas
1567,V Up,V Up Com Bola De Estabilidade
1635,Outros,Superman
1698,Outros,Alongamento Do Peitoral Reverso
1707,Outros,Flexão De Joelhos
1710,Outros,Flexão De Pernas Com Toalha
1716,Outros,Flexão De Parede
1718,Outros,Flexão De Braço Na Parede Com Pegada Fechada
1720,Outros,Flexão De Braços Com Apoio Dos Joelhos Fechada
1727,Outros,Flexão De Braço Declinada Com Bola De Estabilidade
1851,Alongamento,Alongamento Dos Isquiotibiais Em Pé
1874,Alongamento,Alongamento Do Peitoral Reverso
1880,Wall Sit,Wall Sit
1930,Superman,Superman
1934,Step Up,Subida No Step Com Elevação De Joelhos
