id,exercicio,variacao,score,gif_sugerido
1165,Abdominal,Abdominal Com Braços,79.3103448275862,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
910,Agachamento,Agachamento Unilateral Cruzado,78.57142857142857,media\exercicios\GIFS ACADEMIA\PERNAS\Agachamento unilateral cruzado com haltere.gif
911,Outros,Pressão Unilateral Assistida Por,80.0,media\exercicios\GIFS ACADEMIA\PERNAS\Pressão Unilateral Assistida por Alavanca.gif
916,Tríceps Francês,Tríceps Francês,74.57627118644068,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halteres.gif
917,Tríceps,Extensão De Tríceps Com Cabo Em Posição,81.25,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de Tríceps com Cabo em Posição Ajoelhada.gif
923,Tríceps,Extensão De Tríceps Com Cabo,86.11111111111111,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps lateral com cabo.gif
924,Tríceps Francês,Tríceps Francês Alternada Com Halteres No Banco,80.0,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês Alternada com Halteres no Banco Inclinado.gif
925,Outros,Extensão Concentrada Com Cabo,85.33333333333333,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão Concentrada com Cabo no Joelho.gif
928,Tríceps Francês,Tríceps Francês Com Halter,80.0,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halteres.gif
929,Tríceps,Extensão De Tríceps Invertida,80.51948051948052,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com pegada invertida.gif
930,Tríceps,Extensão De Tríceps Com Barra W,83.78378378378379,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com barra em pé.gif
935,Tríceps Testa,Tríceps Testa Pegada Neutra,66.66666666666667,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps testa pegada neutra com halteres.gif
936,Tríceps Testa,Tríceps Testa Com Barra Pegada,71.42857142857143,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Testa com Barra Pegada Invertida.gif
937,Tríceps,Tríceps Pulley Pegada,70.58823529411764,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Pulley barra V.gif
938,Supino,Supino,59.25925925925925,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Supino Fechado.gif
942,Tríceps Testa,Extensão De Tríceps Testa Declinado,82.6086956521739,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de Tríceps Testa Declinado Fechado.gif
943,Tríceps Testa,Tríceps Testa Com Banco Declinado,79.56989247311827,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Testa com Banco Declinado com Halteres.gif
944,Tríceps,Extensão De Tríceps Com Pegada,76.92307692307692,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com pegada invertida.gif
946,Tríceps Francês,Tríceps Francês Com Barra W Acima Da Cabeça,83.63636363636364,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps francês com barra W acima da cabeça sentado.gif
947,Tríceps,Extensão De Tríceps Com Cabo Na Posição,80.41237113402062,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com cabo na posição horizontal.gif
948,Tríceps,Extensão De Tríceps Na Máquina Pegada,83.14606741573034,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps na máquina pegada neutra.gif
949,Tríceps Francês,Tríceps Francês No Banco Inclinado,75.78947368421053,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps francês no banco inclinado com halter.gif
950,Tríceps,Extensão De Tríceps No Cabo,80.59701492537313,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps no cabo alto.gif
953,Elevação Lateral,Elevação Lateral Unilateral,80.95238095238095,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com halteres.gif
954,Remada,Remada De Deltoide Posterior Sentado,79.12087912087912,media\exercicios\GIFS ACADEMIA\OMBROS\Remada de deltoide posterior sentado com haltere.gif
955,Elevação Lateral,Elevação Lateral Com Braço,80.48780487804879,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral de braços com halteres.gif
956,Desenvolvimento,Desenvolvimento De Ombros Com Barra W Com Pegada,86.88524590163934,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de ombros com barra W com pegada invertida.gif
958,Desenvolvimento,Desenvolvimento Cubano Sentado,74.15730337078652,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento cubano sentado com halteres.gif
960,Remada,Remada Inversa Com Cabos,76.19047619047619,media\exercicios\GIFS ACADEMIA\OMBROS\Remada inversa com cabos deitado.gif
962,Elevação Lateral,Elevação Lateral De Halteres,82.35294117647058,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com halteres.gif
963,Elevação Lateral,Elevação Lateral Alternada,80.48780487804879,media\exercicios\GIFS ABDOMINAIS\Elevação Lateral Alternada com Halteres.gif
965,Elevação Lateral,Elevação Lateral Cruzada,75.32467532467533,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com cabo.gif
966,Remada,Remada Lateral Com Halteres,89.85507246376811,media\exercicios\GIFS ACADEMIA\OMBROS\Remada lateral com halteres sentado.gif
967,Desenvolvimento,Desenvolvimento Militar Com Pegada,78.26086956521739,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento militar com pegada fechada.gif
970,Desenvolvimento,Desenvolvimento Militar Com Barra No Chão,82.45614035087719,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento militar inclinado com barra presa no chão.gif
971,Elevação Lateral,Elevação Lateral E Frontal,78.04878048780488,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral e frontal com halteres.gif
973,Elevação Lateral,Elevação Lateral Unilateral Com Haltere,81.25,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com halteres.gif
974,Elevação Lateral,Elevação Lateral De Braços,78.04878048780488,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral de braços com halteres.gif
978,Outros,Elevação Frontal Com Barra,86.56716417910448,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com barra girando.gif
984,Outros,Elevação Frontal Com Barra W,84.05797101449275,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com barra girando.gif
988,Outros,Elevação Frontal,76.92307692307692,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com halteres.gif
991,Elevação Lateral,Elevação Lateral,78.26086956521739,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com cabo.gif
993,Desenvolvimento,Desenvolvimento De Ombro Com Barra,76.08695652173914,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de ombro com barra sentado.gif
994,Remada,Remada Com Halteres Para A Posterior,80.89887640449437,media\exercicios\GIFS ACADEMIA\OMBROS\Remada com halteres para a posterior de ombros.gif
995,Desenvolvimento,Desenvolvimento De Ombro,83.33333333333334,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de ombro deitado.gif
996,Desenvolvimento,Desenvolvimento De Ombros Com Rotação Alternada,81.30081300813008,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de Ombros com Rotação Alternada com Halteres.gif
997,Outros,Elevação Frontal Alternada,83.33333333333334,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação Frontal Alternada Com Halteres.gif
998,Outros,Voador,62.06896551724138,media\exercicios\GIFS ACADEMIA\OMBROS\Voador invertido.gif
999,Desenvolvimento,Desenvolvimento De Ombro Alternada Em Pé,77.06422018348624,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de Ombro Alternada em Pé com Halteres.gif
1001,Elevação Lateral,Elevação Lateral Com Tronco,76.54320987654322,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral com tronco inclinado.gif
1002,Desenvolvimento,Desenvolvimento Cubano,71.60493827160495,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento cubano sentado com halteres.gif
1003,Elevação Lateral,Elevação Lateral Com Halteres Para Deltoides Posteriores,81.75182481751825,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral com halteres para deltoides posteriores deitado.gif
1004,Outros,Elevação Frontal Com Dois Braços,85.71428571428572,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com dois braços com halteres.gif
1006,Desenvolvimento,Desenvolvimento De Ombro Unilateral,79.16666666666666,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Desenvolvimento de ombro unilateral com banda.gif
1007,Elevação Lateral,Elevação Lateral Com Halteres,86.04651162790698,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral unilateral com halteres.gif
1009,Desenvolvimento,Desenvolvimento Militar De Uma Mão,76.76767676767678,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento militar de uma mão com kettlebell.gif
1010,Outros,Levantamento De Halteres De 3,86.48648648648648,media\exercicios\GIFS ACADEMIA\OMBROS\Levantamento de halteres de 3 maneiras.gif
1011,Desenvolvimento,Desenvolvimento De Ombros Atrás Do Pescoço,77.77777777777779,media\exercicios\GIFS ACADEMIA\OMBROS\Desenvolvimento de ombros atrás do pescoço sentado.gif
1015,Outros,Máquina Simulador,70.83333333333333,media\exercicios\GIFS ACADEMIA\CARDIO ACADEMIA\Máquina Simulador Escada.gif
1018,Outros,Bicicleta Ergométrica,77.96610169491525,media\exercicios\GIFS ACADEMIA\CARDIO ACADEMIA\Bicicleta Ergométrica Reclinada.gif
1024,Outros,Elevação,66.66666666666667,media\exercicios\GIFS ABDOMINAIS\Elevação de Pernas.gif
1030,Panturrilha,Levantamento De Panturrilha Com Apoio E,87.12871287128714,media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Levantamento de panturrilha com apoio de uma perna.gif
1293,Outros,Flexão De Diamante,81.4814814814815,media\exercicios\GIFS CALISTENIA\Flexão de diamante de joelhos.gif
1039,Agachamento,Agachamento Com Sustentação E Elevação,73.07692307692308,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Agachamento com Sustentação e Elevação de Panturrilhas.gif
